Nombre científico ;Nombre común ;Familia 
Eucalyptus robusta Smith. ;Eucalipo ;Myrtaceae 
Eucalyptus saligna Sm. ;Eucalipo ;Myrtaceae 
Eucalyptus spp ;Eucalipto ;Myrtaceae 
Eugenia costaricensis O. Berg ;Eugenia , Guayabillo , Murta , Turrú ;Myrtaceae 
Eugenia hiraeifolia Donn. Sm. ;Fruta de pava ;Myrtaceae 
Eugenia hiraeifolia Donn. Sm. ;Molidero ;Myrtaceae 
Eugenia spp ;Guayabilla Murta ;Myrtaceae 
Euphorbia cotinifolia L. ;Barbasco , Barrabás , Barrabás ;Euphorbiaceae 
Euphorbia leucocephala Lotsy ;Pascuita ;Euphorbiaceae 
Euphorbia pulcherrima Willd. ;Pastora ;Euphorbiaceae 
Euterpe precatoria Mart. ;Palmito , Palmitto dulce ;Arecaceae 
Faramea occidentalis (L.) A. Rich. ;Cafecillo ;Rubiaceae 
Ferdinandusa panamensis Standl. & L. O. Williams ;Cafecillo ;Rubiaceae 
Ficus benjamina L. ;Laurel de la India ;Moraceae 
Ficus costaricana (Liebm.) Miq. ;Higuerón ;Moraceae 
Ficus elastica Roxb. ;Árbol de Hule , Ficus , Hule ;Moraceae 
Ficus insipida Willd. ;Chilamate Chilamatón ;Moraceae 
Ficus spp ;Higo , Higuerón ;Moraceae 
Ficus tonduzii Standl. ;Batsu , Chilamate , Higuerón ;Moraceae 
Ficus werckleana Rossberg ;Chilamate ;Moraceae 
Ficus yoponensis Desv. ;Chilamate Higuerón ;Moraceae 
Fraxinus uhdei (Wenz.) Linglesh. ;Fresno ;Oleaceae  
Garcinia intermedia (Pittier) Hammel ;Jorco , Jorco , Limón de montaña , Manzana amarilla , Zatra ;Clusiaceae 
Garcinia mangostana L. ;Mangostán ;Clusiaceae 
Genipa americana L. ;Guaitil , Guaitil blanco , Tabacón , Tapa culo , Tapaculo ;Rubiaceae 
Geonoma congesta H. Wendl. ex Spruce ;Caña de danta ;Arecaceae 
Geonoma interrupta (Ruiz & Pav.) Mart. ;Súrtuba ;Arecaceae 
Gliricidia sepium (Jacq.) Kunth ex Walp. e ;Káldlö ;Fabaceae-Pap. 
Gliricidia sepium (Jacq.) Kunth ex Walp. e ;Kaldloolö , Madera , Madero , Madero amarillo , Madero blanco , Madero negro , Madre de cacao , Sangre de drago ;Fabaceae-Pap. 
Gmelina arborea (L.) Roxb. ;Melina ;Viticaceae 
